,0
0,1620599.310860191
1,1642194.8357052791
2,1680520.1960877187
3,1687924.6746733119
4,1683405.3725577353
5,1687654.1057663432
6,1681873.3613948121
7,1668939.39791238
8,1668419.3969414984
9,1674360.4849667342
10,1684667.924963124
11,1672369.7394259234
12,1663037.7047367643
13,1643283.1920886873
14,1615981.3935592216
15,1635401.9861681103
16,1624543.047437158
17,1622936.206230093
18,1601724.1655658511
19,1588550.120849395
20,1568612.3639738234
21,1542088.4120530547
22,1536246.7227723617
23,1533399.3067962555
24,1569341.9221337365
25,1569399.465604797
26,1552729.6739491282
27,1566951.404346757
28,1605336.7223389926
29,1607786.2587488901
30,1583846.7673127546
31,1599732.3503955973
32,1614348.2543337874
33,1604396.8256560136
34,1609039.2323245178
35,1602699.534404907
36,1605508.5614331684
37,1614277.2495764089
38,1599494.6670891598
39,1603262.6412532905
40,1624815.7613155153
41,1628186.0340156774
42,1622551.9042931695
43,1633429.4432385364
44,1626257.0472694866
45,1621338.225960066
46,1611019.7620400763
47,1609025.3803942031
48,1598543.960993661
49,1625051.228069922
50,1616813.2773858127
51,1607164.8098147265
52,1578685.301573373
53,1564858.6039258996
54,1576695.8474533837
55,1552381.4639766763
56,1562316.4747727136
57,1569680.4603675364
58,1584460.1750648816
59,1614986.5898340913
60,1617845.3022337987
61,1606534.4584519574
62,1618920.311533977
