,0
0,1000000.0
1,999767.2999642214
2,1003260.1749540921
3,1008578.3529177008
4,1002147.8635897554
5,1002457.2741999626
6,998580.1805781166
7,992704.9920911945
8,986828.056689128
9,979224.6376478696
10,979423.8727936086
11,984756.5174774146
12,975906.1901396782
13,966286.2284744717
14,966158.1255295662
15,965017.4735885672
16,964508.572657395
17,971701.1049095339
18,972881.5011104434
19,979163.3307336115
20,972938.9610100125
21,973370.7000301948
22,971348.4699756447
23,971851.8253865326
24,971741.2588418211
25,972244.1852248909
26,975846.0019086323
27,978302.5616494267
28,976078.764584227
29,975533.7349862792
30,972617.8110784631
31,974518.340960566
32,971839.8079669026
33,967724.4205255741
34,966296.7322357877
35,967528.2333584616
36,965745.1163855022
37,965199.1923082655
38,965693.9897975448
39,963776.2262521428
40,964184.9802303255
41,963330.082292075
42,958789.0538889188
43,953990.634129799
44,956555.8789543284
45,954813.0201531714
46,954657.1723880531
47,953515.7614116741
48,957772.5632864749
49,957567.071064427
50,958993.180179493
51,961250.6370703706
52,967111.2345402858
53,966996.1500977331
54,972479.826458618
55,974248.3619580287
56,973132.430912535
57,979092.7934504312
58,979073.3121794339
59,978653.3096621565
60,977133.3715286412
61,972649.9637577161
62,962951.166310983
63,978127.8144194636
64,986143.8263743352
65,1013112.3618206298
66,1010385.4679828183
67,1002415.714185121
68,993507.8189739208
69,992139.3271570074
70,1001712.5055940314
71,1006176.6203504482
72,1015610.1921442661
73,1019030.8119722685
74,1015130.5370781834
75,1029234.0328346106
76,1026060.6629373945
77,983135.9925624259
78,999335.7729618642
79,991864.8868235451
80,999298.2229117149
81,1024673.357977372
82,1029496.9454832075
83,1020784.6863732833
84,1051970.6655471125
85,1064861.9781970768
86,1062176.576268985
87,1089566.1971909427
88,1092476.2396981877
89,1091430.963164178
90,1077985.575707293
91,1109906.8328827124
92,1100590.5092650629
93,1118381.4350247332
94,1097862.7262431174
95,1109092.3073626226
96,1110397.4587783325
97,1139696.4778034808
98,1159316.862453366
99,1178296.287616557
100,1172289.2046251523
101,1177411.0843566102
102,1179317.228298998
103,1179141.2911047437
104,1175337.574531338
105,1161730.2129300865
106,1182856.4470479111
107,1224675.9904651644
108,1228130.847780766
109,1201436.784422456
110,1197559.9744433626
111,1190248.6859307005
112,1186401.2638798426
113,1210154.484788212
114,1220268.639060856
115,1232999.9000491553
116,1231419.0224336688
117,1206976.2457179523
118,1213884.7493243252
119,1205263.117834253
120,1195261.4684148268
121,1226695.6958710414
122,1192134.0124061
123,1196861.2175775575
124,1196110.8950643772
125,1194928.9056824415
126,1202883.3277155175
127,1217048.551308573
128,1201408.1014378436
129,1213247.1912127265
130,1184641.3233467299
131,1185040.866422466
132,1169233.4009762723
133,1164180.1077092572
134,1156477.2781848132
135,1174042.2286282817
136,1157369.0490640153
137,1166526.584957546
138,1178267.5147221752
139,1199487.133437295
140,1207399.1660715544
141,1205549.8281096313
142,1229585.0862673845
143,1229707.6729145371
144,1234298.0054597808
145,1244344.9825418848
146,1244043.13745202
147,1241113.636252137
148,1230480.3366899681
149,1233786.9619356275
150,1252643.8615956223
151,1259958.7099389308
152,1290241.6102181147
153,1296050.551333647
154,1288440.4800513533
155,1276711.6198223133
156,1280357.702423512
157,1264439.6535973754
158,1264124.4524359377
159,1274635.312552471
160,1291921.5825949449
161,1282049.8401253524
162,1250447.2333549913
163,1269311.1197382507
164,1272508.3287265783
165,1287004.2472524222
166,1303749.32094829
167,1305336.3101700903
168,1305838.666635394
169,1294461.1564268686
170,1294537.5902530104
171,1294667.869528805
172,1280063.0141165385
173,1269959.8863139376
174,1272207.748345395
175,1269767.1443049563
176,1285576.130624085
177,1298652.2745653335
178,1312363.9675947179
179,1323983.2641346862
180,1325962.785824478
181,1331296.7950424387
182,1325975.4997735345
183,1323773.9691970798
184,1343306.987898359
185,1348548.1989697258
186,1340381.4583201737
187,1332192.011501719
188,1338172.7228820198
189,1331936.7187377529
190,1296051.4156631746
191,1280483.8542373308
192,1294011.4102383798
193,1298212.2282545178
194,1296704.1050407377
195,1280396.6678094133
196,1269757.8308841016
197,1277932.614309644
198,1293656.955134385
199,1294088.3630216965
200,1319338.0362391372
201,1301018.2257667661
202,1308034.8093001759
203,1305010.562575382
204,1325433.93216174
205,1346889.0970351493
206,1345390.316540415
207,1372308.4625234392
208,1360192.2273752317
209,1374663.438507044
210,1361851.8878023897
211,1341357.8890543752
212,1334617.564659969
213,1337383.9224668737
214,1310032.7276475332
215,1325911.867573423
216,1300997.9245521408
217,1299501.212999556
218,1284958.9337366673
219,1309767.090469466
220,1320537.9634301823
221,1323660.3971270884
222,1351200.8042303845
223,1344563.971540692
224,1344788.3843026555
225,1342776.4773686216
226,1358916.7899181184
227,1379378.989754325
228,1364719.860443721
229,1359939.2300399248
230,1338475.7374205003
231,1323209.348453445
232,1346802.0103808928
233,1335856.5592991977
234,1353465.7050521495
235,1309073.458058694
236,1314543.2524915105
237,1303862.6379885746
238,1339099.8372252989
239,1342171.2170317548
240,1337771.4845939477
241,1341024.7821771402
242,1338611.6376623046
243,1315124.0653703543
244,1310923.1119352519
245,1318665.1062551069
246,1323297.7598928835
247,1331891.8073703914
248,1326918.2782784428
249,1340166.6356508401
250,1317088.1686573662
251,1317044.357435218
252,1322620.202054385
253,1329300.6406430819
254,1331847.9159098966
255,1332750.6684119613
256,1347330.063911376
257,1350097.8401303263
258,1342493.639714197
259,1347850.3317632726
260,1354649.5685555933
261,1371044.1374435988
262,1366353.503482684
263,1353944.6563121937
264,1349138.1004661226
265,1345610.9892236665
266,1356331.6638132057
267,1368947.9173275684
268,1362456.476263712
269,1378320.0095268139
270,1388571.0950356207
271,1374173.5079358562
272,1383868.6060315892
273,1395171.1330223163
274,1378886.1014819532
275,1360885.572229629
276,1343668.5690962642
277,1349153.8054699444
278,1347338.889427337
279,1334023.514138903
280,1315800.9748515887
281,1313070.429764742
282,1315712.9550700309
283,1326733.4309568484
284,1311845.795301828
285,1282098.032455277
286,1251524.7451723693
287,1258363.4220261478
288,1274858.2357011752
289,1271222.2834455573
290,1280571.719460719
291,1270208.4784170196
292,1270944.9214391392
293,1291160.2844502777
294,1295555.9343636646
295,1296040.3544490384
296,1289925.417369404
297,1288844.0650117714
298,1280510.0955830363
299,1280768.3199904512
300,1257699.5697435553
301,1273292.2083050823
302,1271174.4683190028
303,1278033.6340210119
304,1288287.969027198
305,1292171.9517740393
306,1314936.8324796206
307,1312589.8351419074
308,1308602.6497826886
309,1308224.4459945909
310,1309084.7970801974
311,1320196.1405111568
312,1306220.3582564828
313,1324893.4711095768
314,1337614.6089115504
315,1331839.0961519517
316,1320686.6957554582
317,1325980.8193655843
318,1324741.9716798223
319,1309590.7056245045
320,1311965.806158648
321,1323688.2882500598
322,1329850.0670130015
323,1327640.01634858
324,1335180.08821111
325,1353735.3594043092
326,1353147.426675593
327,1361106.6365374927
328,1360863.9035167682
329,1356862.8887140262
330,1350853.7315274028
331,1366939.3560981986
332,1365120.3461169451
333,1361060.6609370778
334,1370300.6648763642
335,1372980.0785148374
336,1361265.971980925
337,1356178.5522881078
338,1372444.5423463522
339,1373653.0997943196
340,1368498.1965621344
341,1377877.7186304985
342,1388207.362777636
343,1350202.5245680735
344,1337994.4122859177
345,1362218.4440103637
346,1358036.723824974
347,1337326.114019732
348,1324192.4535141832
349,1299670.618878211
350,1266377.3301122026
351,1234307.173496653
352,1294603.7162528236
353,1294143.7262008956
