,0
0,1000000.0
1,999582.2126657147
2,1001827.4358111628
3,1006783.4255117937
4,1000951.5346180028
5,1001200.9014629871
6,999059.7380789588
7,998519.3294224129
8,996724.0509365245
9,992409.7642440366
10,993108.9151768372
11,996246.2641793375
12,989766.6792334017
13,982784.4613467524
14,984210.8455312158
15,982538.0209361895
16,981023.6381132947
17,986640.0800453168
18,988929.8662470443
19,992765.665463336
20,987023.601276719
21,985893.5810674186
22,984574.4376175951
23,990281.9853283144
24,998312.8662737688
25,998424.1424236014
26,1012037.6363220653
27,1018767.5963315936
28,1007309.1648875007
29,1004896.8167486548
30,1002266.7769379651
31,1007358.8095640789
32,996196.1125217446
33,977792.7683237335
34,979236.9985669708
35,986201.9105505896
36,978870.2696194379
37,977113.7281287053
38,973478.0133654256
39,965675.6312262601
40,969851.6720086484
41,973419.6102548295
42,955189.9853889234
43,939311.1826910794
44,945860.5493449825
45,928631.4980294872
46,933389.7155428571
47,932824.2267049241
48,948199.6666354528
49,949726.6860144063
50,953102.4620951477
51,951883.1822974537
52,952059.2396806567
53,953773.7471175587
54,962624.8805862187
55,966125.0060598042
56,971591.8560443295
57,975746.9409585304
58,972481.6493286488
59,974443.2541796728
60,967638.8234450642
61,965611.7550730016
62,953771.3251857136
63,964192.8804398964
64,967758.8602499338
65,988631.7087489287
66,979216.1336483783
67,975287.8261033896
68,970510.3829597732
69,970503.4685489342
70,979932.4171023977
71,977768.2897293072
72,982697.7469676794
73,982717.8554373168
74,980922.5018636924
75,976227.3786877277
76,975780.6215334911
77,964246.6071070482
78,968402.1193936744
79,970191.0837900654
80,972425.1989279562
81,980912.1784431924
82,978476.6570718677
83,980820.95873028
84,981130.6487399015
85,983987.0112156592
86,988067.7577332552
87,992917.6861764702
88,986153.4119701069
89,985954.5344202835
90,982840.1760257815
91,992841.3665005208
92,991219.1772501348
93,997972.4824016278
94,988893.1550426583
95,992523.9525029656
96,995005.2171579229
97,1001869.4594833595
98,1008909.5232283585
99,1021407.4389724417
100,1014232.0646592069
101,1016973.9964029086
102,1019644.714143122
103,1022374.6382743316
104,1019994.6174620884
105,1018797.1896706306
106,1027962.0160503333
107,1044370.4247960618
108,1048075.353961921
109,1045836.4221471297
110,1046549.0007000361
111,1032836.5294081569
112,1032785.5177902232
113,1045662.3497054607
114,1043252.559086158
115,1055489.3337887928
116,1059761.5582520205
117,1036727.0720306805
118,1035851.518743722
119,1029313.8606350204
120,1010194.9979511137
121,1027079.6127553101
122,994346.5674451438
123,1000477.6646759902
124,1004794.3573321098
125,1005942.2088584534
126,1015266.1167487128
127,1022086.5840998185
128,1017845.7642555148
129,1025145.1587955033
130,1005037.9717595294
131,1000417.7385906894
132,998165.7651261656
133,992068.318177211
134,992578.699770479
135,1001939.9608829106
136,990596.6849699568
137,994900.1801452192
138,1007025.5180426423
139,1020491.0286634364
140,1033778.4410534686
141,1035139.34962912
142,1052253.4984941597
143,1056628.8066598058
144,1041918.3370608916
145,1040900.2337233435
146,1036130.1583603055
147,1040621.4097101535
148,1038948.622462833
149,1032177.3956681875
150,1040087.3811287263
151,1055743.1874877242
152,1075743.2259494646
153,1070578.2147721506
154,1065327.2214668216
155,1058592.4838792835
156,1056539.7163407523
157,1054448.7621009678
158,1050849.007237855
159,1065210.944383917
160,1079046.6588972416
161,1082118.337827718
162,1059375.5541022466
163,1067249.9151183048
164,1075436.1481226897
165,1085398.1920179676
166,1085284.4284120614
167,1084587.0235320737
168,1079430.3163856117
169,1073012.0389105882
170,1076573.693630318
171,1083104.5965558714
172,1077177.0075684197
173,1069899.601642954
174,1070162.0656325114
175,1066099.1481324974
176,1086795.9432241432
177,1098636.5549871298
178,1110021.4935901982
179,1117975.7428482496
180,1118082.814033284
181,1118428.2670005686
182,1118050.5882697639
183,1119668.2125026349
184,1120785.6298042836
185,1118999.0890166275
186,1118720.9886487892
187,1122336.9412266943
188,1133439.6615032856
189,1125937.927052807
190,1113722.752447879
191,1111492.8862532126
192,1112909.2453620294
193,1117854.0929750907
194,1114395.6273334934
195,1101966.8976674632
196,1090260.3519384095
197,1092646.9776619254
198,1104265.0154720773
199,1099222.8011556023
200,1103218.9639867176
201,1098742.4808472018
202,1103683.9751644847
203,1103320.4282850972
204,1117355.0481555024
205,1114171.121860594
206,1109473.366907466
207,1122481.424973651
208,1119511.629455258
209,1122847.2916989583
210,1119779.9396003443
211,1114750.1243041288
212,1103875.1295495492
213,1098279.4012570807
214,1086091.3942136853
215,998604.559880109
216,995861.527916499
217,998945.904296727
218,1001612.664583626
219,1009770.8370190854
220,1011312.3214848847
221,1006357.8448388882
222,1017686.406778071
223,1015994.4072752774
224,1015741.2423416101
225,1014682.8808161168
226,1016471.3108999095
227,1028808.8626368992
228,1020894.3365215466
229,1020443.7488002154
230,1005309.939793997
231,1004425.5282024022
232,1012787.4400958112
233,1010760.3467611411
234,1015984.3398846556
235,1006350.3090728268
236,1005211.4298169129
237,998930.8319139967
238,1006103.133583821
239,996083.6133984068
240,992693.2821849438
241,986055.6043131935
242,997701.8022948618
243,985106.9063540206
244,981801.324891065
245,983192.0376521944
246,974114.8886683048
247,980769.7850915224
248,974217.9708345375
249,975897.731859038
250,971164.108575441
251,964178.1817148371
252,964200.4110617954
253,958417.3887910342
254,965466.6128894052
255,967763.9862101612
256,977124.9900165643
257,979931.3354292284
258,981961.1018699679
259,979150.1733779482
260,1000525.6867406664
261,1004739.4089402915
262,1009114.3606645096
263,1007748.1467391743
264,1004223.6372901516
265,999691.0678968063
266,1016216.5879493466
267,1029395.2046955046
268,1029026.5062614692
269,1026755.7735011925
270,1042672.5441906211
271,1037427.0022788772
272,1038097.6949602325
273,1032649.7408869945
274,1028331.2812077405
275,1020914.2666667647
276,1015371.3511861223
277,1014954.8766906742
278,1017834.0081005595
279,995115.2193798361
280,972007.107573524
281,964882.2303265597
282,969026.3294132279
283,976783.827203072
284,974841.0214061157
285,961230.7820851769
286,944352.1826728726
287,941024.0921791274
288,948269.6814924176
289,944201.8785645983
290,948658.6151088437
291,939874.870214853
292,943765.2136839357
293,957082.2197539115
294,957936.6114488586
295,956214.6172424586
296,964810.5422693806
297,967342.8710568759
298,966253.9629209426
299,975187.6531865475
300,972866.6267780813
301,988504.8965444707
302,995700.0071677642
303,1002968.5443812876
304,1009810.6251524944
305,1003458.998794178
306,1011267.0207197804
307,1010498.2783323351
308,1008354.7047682517
309,1008980.1675617398
310,1010666.9051469868
311,1018486.7605850173
312,1018111.4351391854
313,1025623.825946586
314,1029752.2395421761
315,1025696.0542967501
316,1021036.5976280342
317,1023882.7114135284
318,1023767.7025817267
319,1008829.7710598068
320,1005889.536488477
321,1013070.9677200088
322,1017852.7572134006
323,1018656.7929854549
324,1024394.583081984
325,1028479.0610355916
326,1030055.0711326116
327,1033270.3246543814
328,1032860.3008918092
329,1019957.0788588712
330,1014209.996946807
331,1021460.9330828743
332,1025106.2327594076
333,1023720.4099669323
334,1030069.7590356411
335,1031709.8590285331
336,1029624.8433938612
337,1018919.3112375368
338,1023092.7982272791
339,1027896.4013965375
340,1010171.2724078718
341,1021745.1985156192
342,1034197.9740016274
343,1012574.6937211391
344,998751.2993038539
345,1015269.8491509557
346,1018011.881058478
347,1006084.5059455476
348,979696.4598649889
349,967645.182474992
350,967297.4052539148
351,948492.6203541189
352,970037.2177274479
353,965969.2975545826
354,969444.1199953435
355,964256.9760087098
356,953285.5966181558
357,946397.0163513345
358,940279.3958905194
359,933699.7366761098
360,920920.7997580821
361,920398.1954052713
362,906847.7395473
363,895575.9071335404
364,898898.5479006317
365,918541.3003134724
366,918103.4851272794
367,922864.3826680295
368,923785.3669439405
369,922742.1664167057
370,928488.0436042991
371,917435.0830968242
372,905946.7339154206
373,904492.3075826815
374,907569.0160003604
375,918062.5610707061
376,918728.8070544436
377,934411.0253391466
378,943174.9484987337
379,948101.4379585763
380,950873.3083657181
381,950801.2591630982
382,952350.6394121667
383,955787.20027774
384,954676.6130369647
385,949208.2109322321
386,948302.4643005806
387,947783.516323395
388,932239.2621575183
389,926519.322295877
390,918454.3864029627
391,912719.5688099974
392,909127.8357132939
393,923527.5898200463
394,921661.7810111948
395,928989.8285512949
396,934640.7504725974
397,932360.5945079696
398,948691.6168870467
399,959370.5850628578
400,967248.6879791166
401,956330.4689186097
402,949250.2532720207
403,943098.3748761766
404,953079.7292974341
405,965342.8769564098
406,972394.9425582748
407,982629.2782329422
408,990177.2041905766
409,988996.5135199488
410,1004684.7259052556
411,1004078.8103947374
412,1026941.8601191579
413,1030568.8450472789
414,1024748.2123620156
