,0
0,1000000.0
1,998411.9647151513
2,998074.429667416
3,1003858.0766285467
4,1003004.3377861672
5,1003425.9339386829
6,1001240.5972527195
7,992007.767404635
8,981383.8961328357
9,969758.507822733
10,969100.6364235635
11,969331.6308251574
12,961948.0724104326
13,953726.5036190889
14,956746.9684507808
15,951673.9153194963
16,947428.6598553424
17,956420.2985169749
18,963084.7852430826
19,966988.5095722025
20,958636.7679135854
21,955736.3548376379
22,952454.4044619829
23,965049.9609567584
24,987313.051529662
25,985844.6544302488
26,1003320.6340191525
27,1008848.2601035855
28,991441.9124501002
29,980954.6545864124
30,976767.0271203154
31,986026.7027338066
32,970728.7951485345
33,944201.7857243475
34,934374.292848181
35,942817.4130041661
36,943102.0160983833
37,938465.062665133
38,930423.2541354257
39,916688.5833678176
40,918955.2454441253
41,928146.6673759641
42,900731.4641451007
43,881909.4598346325
44,892296.7129273029
45,868807.2381606816
46,879754.3714881456
47,887051.6608558715
48,913152.606542428
49,911934.5945888808
50,904725.5121882448
51,897625.29044508
52,897096.9900275727
53,909580.3068759117
54,937409.1064132474
55,952791.2477783697
56,964011.718002212
57,977680.0648020332
58,970227.7042194444
59,971396.5423370198
60,956226.4825644379
61,957401.622686312
62,936573.0879003906
63,949586.6076509873
64,953163.6638181583
65,975582.1806191386
66,955021.8143326622
67,950949.4578247468
68,944424.8630413098
69,943272.3842200956
70,955162.1773879308
71,948266.9745514406
72,960033.203217146
73,962000.5920125459
74,956182.7783809504
75,946274.7627657832
76,946300.2633587538
77,927147.7447312037
78,932218.6736225032
79,933455.956573212
80,941043.1809851853
81,959281.4970014724
82,960242.1994807055
83,961795.2015374087
84,963445.7136040485
85,968041.313921039
86,974665.889735903
87,993283.3365536154
88,981182.6020774543
89,978662.3355585344
90,969722.9029204757
91,995406.281984396
92,995409.9808181513
93,1011835.7436329812
94,1004366.2664150647
95,1007197.4849750869
96,1021052.3879063824
97,1019190.1029164484
98,1030220.0489448328
99,1049257.9464296708
100,1038169.8733057185
101,1040302.4178927855
102,1041172.4625022742
103,1051344.97658238
104,1048703.3081496488
105,1044860.0728218656
106,1057892.7055011056
107,1078639.8413675379
108,1088409.5729077805
109,1087609.2861742494
110,1086866.3121773535
111,1056281.3401080305
112,1062835.762048889
113,1074289.4808607576
114,1057899.8586431034
115,1071852.5814082953
116,1084130.7607486981
117,1067533.9078802958
118,1061048.1634610991
119,1062157.5178575069
120,1029382.7925321865
121,1042120.1199385624
122,1018468.0749117928
123,1024272.6498254212
124,1031647.8113963645
125,1035388.5382322182
126,1054115.7645864252
127,1053508.1648767602
128,1060304.5109506606
129,1064928.0446334856
130,1053144.323604163
131,1045014.3980815858
132,1053822.4377025557
133,1047556.7215482577
134,1058451.5965717935
135,1057199.03302338
136,1051315.1011577437
137,1044164.0648165734
138,1060883.002968376
139,1066012.563957885
140,1086234.9012797198
141,1090082.4844863163
142,1103208.2192636991
143,1113311.1674930356
144,1082178.3984766793
145,1065903.9305363132
146,1058186.7443850003
147,1068199.8272595687
148,1073302.0211667602
149,1059150.658445036
150,1058811.402735934
151,1086984.548692714
152,1098756.6103438113
153,1084573.3229736285
154,1079211.8097897582
155,1077157.618086059
156,1062616.7101665786
157,1071196.7529616675
158,1068523.073793755
159,1082908.0340762346
160,1095891.8514948632
161,1113096.6438902544
162,1094912.959979417
163,1091148.5492885907
164,1104784.915881782
165,1112793.291796291
166,1098223.8371844587
167,1098849.7123545164
168,1088992.4033175972
169,1086167.5367405843
170,1093217.3603251572
171,1103835.6584204698
172,1107229.630770234
173,1104734.147333812
174,1101502.8376416406
175,1095836.1090510795
176,1118323.6428630003
177,1129236.9564808316
178,1139099.3137699116
179,1147271.0556939922
180,1149416.6652625569
181,1150869.9045440897
182,1149507.2823144626
183,1151695.7695008838
184,1144364.0465864597
185,1139143.1145024654
186,1140403.105702498
187,1148604.5223980043
188,1164507.700006031
189,1156668.6838866682
190,1148382.7574882773
191,1150312.016166377
192,1144517.6539763443
193,1152024.749583473
194,1146969.0158733937
195,1136806.4773069846
196,1118958.0496507941
197,1119911.1046200178
198,1138491.2682677244
199,1133045.5727692717
200,1136200.124762217
201,1129046.242514723
202,1135086.7179270436
203,1134751.2344641564
204,1149803.0514883262
205,1135716.8471737744
206,1129381.1515649676
207,1141842.27405487
208,1141499.5178062401
209,1144698.1944747304
210,1137934.9015783735
211,1132261.669070493
212,1118973.292732886
213,1114187.9540608695
214,1105277.45911781
215,971125.2687056956
216,983220.9664990138
217,988581.139411486
218,995019.2191642032
219,1002150.4844755539
220,1000444.8047724331
221,994855.7982810503
222,1005039.6199833865
223,1003464.0141884084
224,1000408.0222315581
225,998852.9402283758
226,998228.0374124665
227,1002054.4709528547
228,995842.1680231567
229,994168.796111517
230,975589.6449408837
231,978163.9771253256
232,986032.5041148739
233,985386.5707673103
234,992428.544939898
235,985358.16082394
236,980923.0439211341
237,974011.8687849124
238,981617.609634205
239,965958.8296175522
240,962345.010495418
241,950070.9357066725
242,970716.1079332129
243,957091.8755519111
244,953488.5540017496
245,952153.6780850783
246,939213.8494805767
247,947244.6726248994
248,939523.4900309986
249,939270.9535884309
250,936843.5502320068
251,926508.8724206319
252,923145.7703504399
253,914699.2027155235
254,923642.2317843318
255,925968.4907800873
256,939760.1770664367
257,943978.9706411732
258,948129.9874945779
259,940379.400899088
260,965251.620333411
261,965773.3877725115
262,972575.9957191701
263,976416.1661353174
264,970652.4404410204
265,964376.7597296309
266,984136.7894920073
267,1000624.0922387112
268,1002997.7431627174
269,996557.075551643
270,1018297.2133206094
271,1015878.9696949943
272,1015644.7754149496
273,1009651.3304891881
274,1006316.7345196834
275,1000764.1135496463
276,995149.2196741722
277,992927.4746369752
278,998701.4033233224
279,965429.9706996678
280,941393.1853733648
281,931776.3709098602
282,932338.2170157257
283,941126.9668243111
284,941451.7046590726
285,936736.1160946877
286,923699.8834342571
287,917693.3903668256
288,920393.4568467089
289,916693.1807965051
290,918873.1658603161
291,911915.8533697703
292,916342.2406764189
293,927051.4056493402
294,927437.1501954603
295,922805.3643827534
296,934386.8295073106
297,939443.3510075768
298,941645.215439541
299,952040.5099968215
300,954469.2739966068
301,972058.7066436599
302,982263.639331626
303,990684.3718029136
304,995300.0278795165
305,985017.1067059188
306,987731.488932003
307,986928.8950713143
308,984977.575603328
309,984123.1774688254
310,986582.3668594908
311,993091.0270085002
312,996938.7743708262
313,1003346.380897003
314,1007089.3298931285
315,1004697.1562120395
316,1002267.9830232084
317,1004452.2199779964
318,1004173.0249553293
319,987122.0154078321
320,982916.3266844035
321,990337.466684516
322,996155.8866153364
323,998268.3443001173
324,1001556.651390638
325,1000849.6054735052
326,999028.5516057531
327,1003444.8981528024
328,1004173.6303039759
329,990125.3635844322
330,983437.110679358
331,989813.7277067683
332,994205.459697341
333,992978.1412236888
334,997896.0644499076
335,1001441.7737033269
336,1003011.3801483389
337,989469.1752667784
338,988574.7078023754
339,996229.0017407419
340,975854.2494699209
341,984358.011954669
342,999909.4005642773
343,983533.8810381066
344,968066.492982821
345,983243.955223076
346,989669.100372345
347,976486.777610755
348,949982.0352468465
349,948278.3426128629
350,959810.0018912228
351,944256.0685246143
352,955270.4693197351
353,950432.6903928377
354,950683.2632052292
355,950957.8147978757
356,946246.9165283869
357,939166.438860366
358,930957.2803957512
359,925514.0180832526
360,918906.3162397386
361,914244.1790384229
362,897366.9741819833
363,890575.4612342202
364,891816.0521909309
365,903480.035780379
