,0
0,21988.106386466883
1,31144.76036488521
2,5360.527153497562
3,-14857.398166100727
4,-23407.912086623255
5,5107.9539206274785
6,3275.9825484051835
7,10184.324607090093
8,7494.377564091235
9,4641.256585827796
10,6010.833282825071
11,4356.542260112008
12,-18816.60522254603
13,-570.1830078326166
14,1587.593807166675
15,-1307.9953928561881
16,5207.386592661496
17,3681.419104120927
18,-11168.478550030384
19,7928.189966032747
20,204.53197097522207
21,-2452.962648480665
22,2070.0219617672265
23,-10663.659945759457
24,-17881.560190528166
25,5148.720443998696
26,-12207.059165334329
27,9876.639118008316
28,-6029.237538567511
29,2261.446208170848
30,-2585.178428723244
31,4067.7553670196794
32,10010.741788880201
33,5956.769574736012
34,-4434.980148286559
35,-31099.700109524652
36,-10684.801126245176
37,1062.1976243946701
38,-11503.441056290641
39,7475.1462164304685
40,18075.698190906318
41,437.0524869277142
42,-559.321451008087
43,3278.321828807937
44,-2118.8305047077592
45,17788.23302887357
46,-5366.397798259975
47,-4384.3314329320565
48,6717.140257460764
49,17930.786743905162
50,7537.959305219352
51,-25146.689327354543
52,-7058.288047845708
53,-18428.525830750586
54,8882.895583249861
55,2039.7051153802313
56,6.168661348987371
57,2483.9893483121414
58,-3758.134758113418
59,-1239.30002842471
60,-22883.885746394983
61,-1717.9637396363541
