,0
0,981872.9451335813
1,974252.5391845906
2,979501.6090205654
3,976481.9837868684
4,977144.938823475
5,981663.5926353119
6,980883.3824314784
7,981565.2444538276
8,980512.3495183865
9,988616.9419265751
10,989788.9486094506
11,983005.1883018102
12,972632.8257083173
13,981073.6631324488
14,990080.22894843
15,996585.8153647773
16,992885.9061297531
17,990318.2164030602
18,998793.455802562
19,999722.8656638149
20,1003209.151298731
21,993833.9543138469
22,1007607.1172568507
23,990440.439561014
24,1000013.1693973802
25,1000622.7079408991
26,1005881.6795507235
27,1002388.6483277174
28,1019982.9377277794
29,1012640.8942112043
30,1005654.0780144762
31,997678.4637236426
32,994975.6230677394
33,1000156.0501569075
34,999340.9023555369
35,1016238.988075367
36,1004694.84638222
37,1000665.7502671848
38,990810.6137721471
39,995280.8822897067
40,1004007.5153147675
41,1019665.6143180729
42,1020912.4810437447
43,1029148.2113680056
44,1034838.7666926055
45,1021276.5937387783
46,1020803.6993418372
47,1023006.9274030424
48,1026858.1776838945
49,1044012.3775569139
50,1021974.6655394755
51,1034826.0629396557
52,1024750.2043326263
53,1052250.7411936298
54,1054160.6433785146
55,1050309.9569239519
56,1053977.583695075
57,1066015.5014730867
58,1071808.7198209134
59,1061594.4797965887
60,1082941.892171913
61,1089608.75786114
62,1087155.3070955765
