,0
0,1903181.5882844983
1,1874641.1428222738
2,1870655.140907158
3,1880097.5754777994
4,1900681.3836702923
5,1898001.2608710346
6,1888089.5300621733
7,1888175.2638643149
8,1870148.3869070099
9,1890462.681638391
10,1867727.1909304003
11,1851544.6043729747
12,1783014.0121655918
13,1754643.9643582948
14,1749407.902610697
15,1708511.354935068
16,1672501.558065263
17,1690821.1227223766
18,1738313.1904859077
19,1738932.8800321391
20,1730077.9066042164
21,1688563.2791968067
22,1587019.5753279598
23,1555490.7483198286
24,1503438.3012226217
25,1329009.8731984636
26,1351487.9371291355
27,1261154.1912588743
28,1294131.6297389364
29,1211356.4918351662
30,1197509.8866252278
31,1253290.3934296719
32,1198901.5438486985
33,1296026.4334039218
34,1319999.6704539142
35,1387047.1437734999
36,1358972.1902886897
37,1352229.0422209757
38,1368962.3118797534
39,1299953.9538613125
40,1274702.6922520483
41,1270168.6935330909
42,1350395.909505689
43,1402148.567822264
44,1404957.1699910855
45,1433818.6721703245
46,1454124.6407416258
47,1448961.6357111104
48,1473851.831473389
49,1440812.286907563
50,1421693.0433039914
51,1474803.5582031521
52,1472338.7709909184
53,1423545.7766300638
54,1439585.1776042627
55,1469733.9843716326
56,1478568.40099164
57,1489644.475818552
58,1516182.177150286
59,1639717.5520031103
60,1603221.135179766
61,1518757.5335609175
62,1517123.7785181638
63,1531887.1418057047
64,1506787.7617791307
65,1528783.5793537179
66,1559556.5330553518
67,1539455.6921820594
68,1538227.913436945
69,1534846.7402981948
70,1486688.8457573906
71,1474354.6332593495
72,1493227.0035802075
73,1537825.8584118502
74,1559618.3131256117
75,1544739.1453822542
76,1539937.5918707778
77,1557528.2382789867
78,1633731.6291240589
79,1661849.2423212144
80,1698012.4053895911
81,1721685.3261873971
82,1737513.6061232542
83,1767214.8869999591
84,1783746.7911815655
85,1830987.0640802875
86,1900999.4667964743
87,1926867.134540607
88,1879084.157355874
89,1892145.607111727
90,1800770.6044833267
91,1809341.1692485556
92,1751988.8527575925
93,1761167.4621462713
94,1743610.8581031957
95,1736766.0773890454
96,1720777.7703672391
97,1726923.8444279653
98,1745559.4935607784
99,1683047.068752045
100,1678341.419967944
101,1636801.2123713256
102,1617144.4914881382
103,1602531.0219062984
104,1614333.909061853
105,1626404.671577817
106,1677007.1228395086
107,1728732.5745806322
108,1708285.5040502315
109,1723871.885852895
110,1741404.2087266962
111,1738763.3296576554
112,1720904.3915836336
113,1680259.4076734623
114,1704082.6558680353
115,1693417.456038435
116,1688178.876733708
117,1720879.8656857575
118,1737644.0598425004
119,1747752.1475403768
120,1706778.4571773633
121,1692698.4858460512
122,1720274.7148633923
123,1738824.229197604
124,1836226.628793674
125,1828925.1206805243
