,0
0,1000000.0
1,999033.0250829515
2,999007.1148750575
3,999200.0911818381
4,999056.76239751
5,999023.9331013402
6,996346.5431776021
7,993049.2302462299
8,990178.4162546215
9,984232.751949011
10,982812.8273784209
11,981486.2407093495
12,976850.2882814875
13,973480.310567131
14,975146.0606307359
15,974705.1319071925
16,974212.3529601335
17,976363.847825124
18,978020.2896381804
19,985540.9214386248
20,977037.3094280027
21,973438.8577414468
22,971356.536764832
23,971139.1726313124
24,973213.9514295667
25,973817.4948785257
26,983845.257806479
27,988424.0629809658
28,984368.6129933844
29,988558.1557389393
30,980093.8659845751
31,985007.0315887833
32,971501.7590760309
33,943313.1682360242
34,967989.8662267231
35,977552.188061269
36,966126.6957231597
37,968247.3376077006
38,971077.4429832515
39,972110.6836708769
40,970213.7029805437
41,978995.6239760418
42,967811.9706778415
43,946072.8276833813
44,950052.4487036793
45,945720.7420611136
46,953293.0605709364
47,953353.3652152442
48,961577.3395567788
49,962400.9477142692
50,970830.7380998041
51,970503.7022132418
52,961422.4243345364
53,962276.1971849783
54,972110.2675843346
55,979092.3613659453
56,973587.5790199067
57,983589.1096544245
58,980864.248115146
59,981995.4759247042
60,979909.9944805003
61,963789.3180529232
62,948401.5858747838
63,962031.660914464
64,976546.9065324368
65,995051.2993394104
66,993310.9765903756
67,977819.1652573668
68,995025.7008585564
69,1002197.0549885057
70,999832.5604399636
71,1007602.9874998209
72,1021281.4458535382
73,1027157.9966324118
74,1040352.5258060456
75,1042964.5010805912
76,1025194.8111345952
77,994573.4301534538
78,994300.2797021098
79,989094.2953018326
80,988868.6123065432
81,1003127.4616999116
82,977107.1928865064
83,990630.2572846585
84,1019014.8032066309
85,1019901.5235775642
86,1037561.9039894225
87,1053858.5858402813
88,1040391.6551607315
89,1050643.7346768652
90,1051170.223013419
91,1073051.2642085622
92,1064674.1631375987
93,1066453.2771320085
94,1054047.9234945683
95,1002308.0679424416
96,1029109.4178958312
97,1071235.5932978143
98,1074720.5975382996
99,1095992.1203783518
100,1085214.2365039168
101,1074774.8238926998
102,1077657.4505715198
103,1037810.0134159793
104,1060014.5435796701
105,1053563.657089879
106,1084367.9824472577
107,1092819.9733147025
108,1102384.2424360104
109,1111799.488401271
110,1122412.434967334
111,1123758.800721678
112,1125984.5968190646
113,1180437.3971727078
114,1160643.1624481927
115,1172688.7375039
116,1165974.765999818
117,1136838.2508329612
118,1140998.3986138217
119,1146117.1163409313
120,1141201.1255190747
121,1202702.7051834557
122,1129620.9251301552
123,1139768.943413602
124,1146941.0728707884
125,1184366.950049765
126,1208484.6842709146
127,1197770.282305059
128,1218265.9247338448
129,1237068.8705230046
130,1235189.1327970629
131,1239841.5406769658
132,1250341.9648561815
133,1241941.4363806562
134,1241262.134429645
135,1312007.582107828
136,1294468.9459316921
137,1277785.5684995726
138,1321396.0714676043
139,1348037.6155515085
140,1373016.9064114764
141,1354134.114431124
142,1393723.480686122
143,1430236.4224274193
144,1440803.5543481302
145,1455102.0616124675
146,1491199.5312717517
147,1508889.9834629442
148,1498255.3811949377
149,1484147.7931340255
150,1499229.2851539636
151,1544403.474807214
152,1584390.345682402
153,1581237.7508916715
154,1524514.47760888
155,1508594.1404200816
156,1521538.5008474628
157,1547000.496937374
158,1548352.3112029936
159,1563486.9296157912
160,1610872.252938405
161,1558062.1604402652
162,1506287.6569293845
163,1531775.9006544997
164,1542424.0200049486
165,1552334.304304982
166,1573204.8577271139
167,1574041.9954777232
168,1621185.3621475976
169,1586094.076914095
170,1646865.6186139353
171,1702848.4432251165
172,1739506.0513469528
173,1633365.2351307261
174,1602108.7759617413
175,1637367.837919209
176,1733237.3804600525
177,1739471.5693470198
178,1766044.500133671
179,1768855.915523186
180,1709367.6326308497
181,1636217.0242574557
182,1598120.2242638555
183,1624331.0293437561
184,1633808.9860336364
185,1615805.6240872904
186,1615453.2199179574
187,1582827.386134074
188,1652301.2460562938
189,1625778.850516653
190,1646139.1019818934
191,1637077.5561177374
192,1629650.5649608364
193,1591582.0131072581
194,1624267.6918749092
195,1575293.8915624672
196,1586193.557446539
197,1597593.7924925378
198,1590374.996937582
199,1554255.1923091703
200,1554426.0699590694
201,1539568.0340501876
202,1555297.3256211744
203,1576102.5503886382
204,1614998.0433068564
205,1621167.75704685
206,1594175.5115277201
207,1622636.1163297037
208,1624001.879449682
209,1626575.970596586
210,1615069.403259868
211,1599497.9319090887
212,1569969.5785164598
213,1555537.4657656874
214,1521629.1537076083
215,1571995.9416590522
216,1546808.8272195247
217,1533571.9924548327
218,1517490.2263587876
219,1530663.159791116
220,1548477.211592331
221,1531854.734613622
222,1570702.8886689227
223,1641946.1018157266
224,1710802.5382586024
225,1694859.3454824057
226,1708007.5057061824
227,1739030.6634009588
228,1725226.4477889219
229,1682365.930203712
230,1662411.740271827
231,1675785.2622464488
232,1693982.6571569175
233,1695998.8794741172
234,1705259.1510753941
