,0
0,1036.1183894649148
1,15032.781539543997
2,-7286.875438073184
3,-13912.370440471917
4,-2134.5528138056397
5,6043.331899138633
6,-7622.307052349439
7,1263.023493458517
8,704.0961500916164
9,2592.0614141512197
10,-2269.9365253562573
11,-13321.542548726546
12,-14890.884805480251
13,-1687.3457589979516
14,-18826.036041931016
15,-3389.433032780071
16,-968.4767843526788
17,4887.620967690484
18,-5870.022490221076
19,15304.276287152781
20,3974.408338033245
21,1887.530611620983
22,-2357.71516150306
23,-3037.4924398488365
24,-7850.597518004477
25,3337.1370719656115
26,-9190.390827492694
27,8642.635586174554
28,-3484.744433414191
29,-5934.494473107858
30,-11977.798530380707
31,3468.291857330827
32,-4702.621002882603
33,6430.11026255053
34,3384.3686173980823
35,-3723.467878704192
36,1804.220452052541
37,-16864.900804235367
38,-9315.941221796442
39,4300.251606342616
40,-5323.021665553562
41,891.0461694931146
42,-3796.21944750892
43,5609.2136834822595
44,-2386.9522741457913
45,-4603.253901261836
46,3749.4992526804563
47,8200.097016179701
48,-8841.97607715195
49,4555.033000229392
50,-1862.8476166152395
51,3494.863856359967
52,3847.235176714021
53,2861.910279322299
54,-2693.0733813402476
55,7263.167060891981
56,3296.27263459377
57,4687.722231357242
58,-6072.159365065629
59,10978.192980683176
60,-4992.0371725138975
61,-7193.443050332135
