,0
0,-1205.329898670083
1,15678.87224341929
2,-2676.2607074880507
3,-1417.4626131502446
4,10121.764282223303
5,-700.4515378568321
6,2082.7132906410843
7,508.2386729072314
8,7941.357690333156
9,6450.072957257042
10,-37629.607491881354
11,-25550.596601375146
12,21349.6060978265
13,-10286.768214207608
14,7772.912255713716
15,-1850.910819688812
16,14041.463209538022
17,91.94121985323727
18,-4683.740111404099
19,-1049.9627740583383
20,-7272.696628719335
21,19243.46757275844
22,-5050.709945001872
23,11227.006252369843
24,-1222.8227760752197
25,8412.815683316672
26,-7868.883385334164
27,8260.455360036343
28,-8987.316762431292
29,-7774.55901786685
30,-13722.765423169825
31,-14410.933207716094
32,-810.1281389265787
33,21795.630288867047
34,32612.384822678752
35,-31509.839573854348
36,-5661.324892840581
37,10791.09074613708
38,-22643.798029778525
39,-4077.8801751241554
40,34288.88779254467
41,5924.578357924707
42,10607.796164691681
43,4515.324854815146
44,-10124.290448518004
45,-4288.066912398208
46,12528.630986658623
47,13386.303029924864
48,64250.13164316537
49,-37434.90875789453
50,19647.7068275637
51,-22962.408544152044
52,47711.11822173814
53,9326.986666734098
54,-8621.966395903379
55,9104.265837521758
56,72718.16958759632
57,-860.4759526571725
58,-20993.84059460764
59,35135.2941948385
60,3500.6760651150253
61,23882.742643239908
