,0
0,1802048.0016868266
1,1801040.7994715958
2,1818389.3338425364
3,1849241.994304945
4,1840277.091735519
5,1830069.9577149532
6,1794048.0867443043
7,1770249.6877408144
8,1777478.6924472027
9,1820420.2137772625
10,1824572.7946362616
11,1852924.2103492806
12,1847768.5838086933
13,1847484.0329153077
14,1876672.502243256
15,1897080.03470633
16,1899626.5254672298
17,1922178.1732598243
18,1937865.915083444
19,1958048.0499184479
20,1971184.7419387493
21,2014303.7281055092
22,2005719.3966390486
23,2031774.298384267
24,2026380.6267141232
25,1996873.6975997793
26,1995754.5718884286
27,1918299.1942967668
28,1927101.7061590608
29,1933758.0520710072
30,1963822.2987835254
31,1962984.9269035885
32,1948936.325040308
33,1947898.0549288206
34,1958236.6900557417
35,1982016.7128889698
36,1936067.8128145402
37,1947167.1423864278
38,1929135.8444826033
39,1943845.044875983
40,1959831.239214081
41,1961423.3133991745
42,1986165.5486325584
43,1991630.5733338154
44,2017639.565997062
45,2003288.9097392845
46,2005774.1284344017
47,1991940.8829231048
48,2000108.6991444307
49,1994469.0922991422
50,1993970.0852040304
51,2030022.2514841156
52,2026870.736004904
53,2043769.450521567
54,2061046.0687161486
55,2065290.7627936127
56,2053208.8336937332
57,2054549.5746693623
58,2035527.90829588
59,2048249.4858850597
60,2047103.3218279784
61,2062764.0686236836
62,2062432.8933873156
