,0
0,1000000.0
1,999228.033088995
2,1007192.2501178086
3,1017845.7959987024
4,1007037.751413394
5,1007618.8583822681
6,992416.3848931559
7,977533.633491164
8,962121.4407977869
9,930388.6642431291
10,930961.649600219
11,949943.0256583153
12,916776.4187192625
13,886663.414202152
14,894099.9098664592
15,880654.8392138423
16,865419.8738054755
17,903502.0393090025
18,907796.6913471491
19,934792.6019674023
20,899618.529968012
21,897559.9192695846
22,888161.7537137637
23,896174.1559390151
24,934448.0641920211
25,933835.8915466035
26,975299.4276163164
27,999492.7222335807
28,966434.9857289207
29,955117.8542880162
30,943257.0007525344
31,963142.910411005
32,933346.4187744377
33,877536.3037278514
34,891239.953993658
35,909509.5639164236
36,882630.837523639
37,884744.1619139528
38,879430.7715060964
39,864338.0057995855
40,877347.036385111
41,879994.2379884807
42,847963.7769779884
43,803914.7120122411
44,813802.4290328008
45,780344.9155905395
46,796515.5793931264
47,802385.1044217368
48,830898.9670609728
49,829534.090408756
50,834447.4091280052
51,830987.7027062176
52,821345.9523980967
53,830078.1793033257
54,858453.735406376
55,881353.0808655765
56,877015.8735730628
57,899440.1893400771
58,890432.797024922
59,891888.4423754218
60,889977.5627978649
61,847491.3401175666
62,821363.6696476942
63,841452.8278730066
64,864157.325020047
65,903667.8648393853
66,906838.0403132975
67,908499.7326881558
68,887916.0506999353
69,883368.4912513485
70,915496.0837634264
71,916210.9402948915
72,929460.1780775912
73,926302.1937630136
74,923491.8978263265
75,943852.5313237567
76,986146.277363842
77,945142.3265856074
78,941878.6574008572
79,957235.1893862048
80,977041.2659123609
81,999376.8071557585
82,974063.1033423011
83,972398.6650361299
84,987295.4250945
85,1015177.6641667357
86,1011754.3175537803
87,1073402.2035880971
88,1093243.4081427562
89,1091104.7811206414
90,1063525.5943084478
91,1053243.1914497584
92,1047438.3264907096
93,1059380.295433209
94,1004510.5036796576
95,990852.8357335305
96,1023636.6846090727
97,1031077.8951219221
98,1063974.9076707726
99,1130685.1129294336
100,1097362.0840531855
101,1105404.6755441201
102,1107724.8172846707
103,1090721.9936387464
104,1071714.767827434
105,1063573.864868237
106,1079712.6199046595
107,1134429.1077646704
